Country,Date,Currency(USD)*1000
India,2019-06-03,14.461315979754158
India,2019-06-04,14.434180138568129
India,2019-06-05,14.407145944388418
India,2019-06-06,14.448779078167895
India,2019-06-07,14.42585112521639
India,2019-06-10,14.390559792775939
India,2019-06-11,14.405070584845864
India,2019-06-12,14.419610670511897
India,2019-06-13,14.38228102977132
India,2019-06-14,14.324595330181923
India,2019-06-17,14.320492624946299
India,2019-06-18,14.367816091954024
India,2019-06-19,14.359563469270535
India,2019-06-20,14.400921658986174
India,2019-06-21,14.36988072998994
India,2019-06-24,14.42585112521639
India,2019-06-25,14.43834825295986
India,2019-06-26,14.455044810638912
India,2019-06-27,14.490653528474134
India,2019-06-28,14.509576320371444
India,2019-07-01,14.520110352838682
India,2019-07-02,14.520110352838682
India,2019-07-03,14.536996656490768
India,2019-07-04,14.569825890580608
India,2019-07-05,14.602803738317757
India,2019-07-08,14.587892049598834
India,2019-07-09,14.590020426028595
India,2019-07-10,14.619883040935672
India,2019-07-11,14.619883040935672
India,2019-07-12,14.583637159107482
India,2019-07-15,14.594279042615295
India,2019-07-16,14.564520827264783
India,2019-07-17,14.526438117373619
India,2019-07-18,14.524328249818447
India,2019-07-19,14.530659691950015
India,2019-07-22,14.515894904920888
India,2019-07-23,14.494854326714018
India,2019-07-24,14.505366985784741
India,2019-07-25,14.486455164421265
India,2019-07-26,14.515894904920888
India,2019-07-29,14.549687181725592
India,2019-07-30,14.530659691950015
India,2019-07-31,14.532771399505885
India,2019-08-01,14.492753623188406
India,2019-08-02,14.357501794687723
India,2019-08-05,14.124293785310734
India,2019-08-06,14.104372355430183
India,2019-08-07,14.048890137679122
India,2019-08-08,14.16029453412631
India,2019-08-09,14.10238330277817
India,2019-08-12,14.031149151115477
India,2019-08-13,14.00364094664613
India,2019-08-14,14.031149151115477
India,2019-08-15,13.92951664577239
India,2019-08-16,14.054813773717497
India,2019-08-19,13.997760358342665
India,2019-08-20,13.978194017332958
India,2019-08-21,13.999720005599887
India,2019-08-22,13.908205841446453
India,2019-08-23,13.987970345502868
India,2019-08-26,13.885031935573453
India,2019-08-27,13.982102908277406
India,2019-08-28,13.937282229965156
India,2019-08-29,13.952839402818473
India,2019-08-30,13.995801259622112
India,2019-09-02,13.922728854855551
India,2019-09-03,13.850415512465373
India,2019-09-04,13.867702121758425
India,2019-09-05,13.919821826280623
India,2019-09-06,13.950892857142856
India,2019-09-09,13.954786491766676
India,2019-09-10,13.910140492418973
India,2019-09-11,13.962580284836637
India,2019-09-12,14.10238330277817
India,2019-09-13,14.084507042253522
India,2019-09-16,13.98014818957081
India,2019-09-17,13.991884706870016
India,2019-09-18,14.05283867341203
India,2019-09-19,14.023278642546627
India,2019-09-20,14.074595355383535
India,2019-09-23,14.126289023873428
India,2019-09-24,14.096419509444601
India,2019-09-25,14.084507042253522
India,2019-09-26,14.098406880022555
India,2019-09-27,14.186409419775854
India,2019-09-30,14.156285390713476
India,2019-10-01,14.062719729995782
India,2019-10-02,14.05086412814388
India,2019-10-03,14.078558355624384
India,2019-10-04,14.112334180073384
India,2019-10-07,14.090460758066788
India,2019-10-08,14.04297149276787
India,2019-10-09,14.066676044450695
India,2019-10-10,14.088475626937164
India,2019-10-11,14.10238330277817
India,2019-10-14,14.04593019172695
India,2019-10-15,13.989927252378287
India,2019-10-16,14.011489421325486
India,2019-10-17,14.066676044450695
India,2019-10-18,14.070634585619814
India,2019-10-21,14.104372355430183
India,2019-10-22,14.122299110295156
India,2019-10-23,14.122299110295156
India,2019-10-24,14.08252358822701
India,2019-10-25,14.128284826222096
India,2019-10-28,14.142271248762551
India,2019-10-29,14.112334180073384
India,2019-10-30,14.092446448703496
India,2019-10-31,14.08252358822701
India,2019-11-01,14.132278123233466
India,2019-11-04,14.126289023873428
India,2019-11-05,14.122299110295156
India,2019-11-06,14.092446448703496
India,2019-11-07,14.076576576576574
India,2019-11-08,14.015416958654521
India,2019-11-11,13.97624039133473
India,2019-11-12,13.937282229965156
India,2019-11-13,13.865779256794232
India,2019-11-14,13.890818169190167
India,2019-11-15,13.966480446927376
India,2019-11-18,13.908205841446453
India,2019-11-19,13.915947676036739
India,2019-11-20,13.939224979091165
India,2019-11-21,13.937282229965156
India,2019-11-22,13.935340022296542
India,2019-11-25,13.948946854512485
India,2019-11-26,13.984058173682001
India,2019-11-27,14.033118158854897
India,2019-11-28,13.98503601146773
India,2019-11-29,13.937282229965156
India,2019-12-02,13.956734124214933
India,2019-12-03,13.94700139470014
India,2019-12-04,13.991884706870016
India,2019-12-05,14.033118158854897
India,2019-12-06,14.033118158854897
India,2019-12-09,14.080540692762604
India,2019-12-10,14.11631846414455
India,2019-12-11,14.138272303124557
India,2019-12-12,14.16029453412631
India,2019-12-13,14.124293785310734
India,2019-12-16,14.10636196924813
India,2019-12-17,14.076576576576574
India,2019-12-18,14.090460758066788
India,2019-12-19,14.062719729995782
India,2019-12-20,14.070634585619814
India,2019-12-23,14.037057832678272
India,2019-12-24,14.039028499227852
India,2019-12-25,14.034102869974037
India,2019-12-26,14.029180695847362
India,2019-12-27,13.995801259622112
India,2019-12-30,14.025245441795233
India,2019-12-31,14.013452914798206
India,2020-01-01,14.015416958654521
India,2020-01-02,14.017381553125876
India,2020-01-03,13.935340022296542
India,2020-01-06,13.915947676036739
India,2020-01-07,13.919821826280623
India,2020-01-08,13.984058173682001
India,2020-01-09,14.05283867341203
India,2020-01-10,14.096419509444601
India,2020-01-13,14.136273678258412
India,2020-01-14,14.114326040931546
India,2020-01-15,14.146272457207527
India,2020-01-16,14.09443269908386
India,2020-01-17,14.068655036578503
India,2020-01-20,14.0597539543058
India,2020-01-21,14.05086412814388
India,2020-01-22,14.070634585619814
India,2020-01-23,13.995801259622112
India,2020-01-24,14.023278642546627
India,2020-01-27,13.995801259622112
India,2020-01-28,14.037057832678272
India,2020-01-29,14.015416958654521
India,2020-01-30,13.972334777141262
India,2020-01-31,13.98014818957081
India,2020-02-03,14.021312394840159
India,2020-02-04,14.062719729995782
India,2020-02-05,14.046916701783958
India,2020-02-06,14.046916701783958
India,2020-02-07,13.991884706870016
India,2020-02-10,14.029180695847362
India,2020-02-11,14.035087719298247
India,2020-02-12,14.027212792818066
India,2020-02-13,14.031149151115477
India,2020-02-14,13.982102908277406
India,2020-02-17,13.978194017332962
India,2020-02-18,13.97428731134712
India,2020-02-19,13.97624039133473
India,2020-02-20,13.952839402818473
India,2020-02-21,13.908205841446453
India,2020-02-24,13.904338153503893
India,2020-02-25,13.925637097897228
India,2020-02-26,13.970382788488404
India,2020-02-27,13.956734124214933
India,2020-02-28,13.787398317937406
India,2020-03-02,13.721185510428102
India,2020-03-03,13.693002875530604
India,2020-03-04,13.607293509320996
India,2020-03-05,13.605442176870747
India,2020-03-06,13.513513513513514
India,2020-03-09,13.475272874275706
India,2020-03-10,13.486176668914363
India,2020-03-11,13.572204125950053
India,2020-03-12,13.468013468013467
India,2020-03-13,13.539128080151638
India,2020-03-16,13.51168760978246
India,2020-03-17,13.466199838405602
India,2020-03-18,13.41381623071764
India,2020-03-19,13.37255950788981
India,2020-03-20,13.278449077147789
India,2020-03-23,13.10787783457858
India,2020-03-24,13.094146916328402
India,2020-03-25,13.095861707700367
India,2020-03-26,13.35291761249833
India,2020-03-27,13.250298131707963
India,2020-03-30,13.274923669188903
India,2020-03-31,13.26435866825839
India,2020-04-01,13.089005235602093
India,2020-04-02,13.099292638197536
India,2020-04-03,13.11647429171039
India,2020-04-06,13.166556945358789
India,2020-04-07,13.220518244315176
India,2020-04-08,13.164823591363877
India,2020-04-09,13.106159895150721
India,2020-04-10,13.18044022670357
India,2020-04-13,13.114754098360656
India,2020-04-14,13.138877939823939
India,2020-04-15,13.061650992685475
India,2020-04-16,13.029315960912053
India,2020-04-17,13.061650992685475
India,2020-04-20,13.061650992685475
India,2020-04-21,12.99545159194282
India,2020-04-22,13.082155939298797
India,2020-04-23,13.185654008438817
India,2020-04-24,13.113034356150012
India,2020-04-27,13.118194936376753
India,2020-04-28,13.164823591363877
India,2020-04-29,13.25381047051027
India,2020-04-30,13.319126265316994
India,2020-05-01,13.201320132013201
India,2020-05-04,13.220518244315176
India,2020-05-05,13.206550449022716
India,2020-05-06,13.144058885383807
India,2020-05-07,13.196093956188967
India,2020-05-08,13.231013495633766
India,2020-05-11,13.18044022670357
India,2020-05-12,13.328002132480341
India,2020-05-13,13.274923669188903
India,2020-05-14,13.248542660307365
India,2020-05-15,13.189132155104197
India,2020-05-18,13.20306311064167
India,2020-05-19,13.215276860050219
India,2020-05-20,13.250298131707963
India,2020-05-21,13.222266296443212
India,2020-05-22,13.159626266614028
India,2020-05-25,13.208294809140138
India,2020-05-26,13.257324671881213
India,2020-05-27,13.178703215603585
India,2020-05-28,13.215276860050219
India,2020-05-29,13.229263130043655
India,2020-06-01,13.234515616728428
India,2020-06-02,13.328002132480341
India,2020-06-03,13.276686139139672
India,2020-06-04,13.257324671881213
India,2020-06-05,13.225763787858748
India,2020-06-08,13.255567338282079
India,2020-06-09,13.255567338282079
India,2020-06-10,13.218770654329147
India,2020-06-11,13.16309069369488
India,2020-06-12,13.15270288044193
India,2020-06-15,13.16309069369488
India,2020-06-16,13.125082031762698
India,2020-06-17,13.114754098360656
India,2020-06-18,13.102725366876312
India,2020-06-19,13.121637580370031
India,2020-06-22,13.199577613516366
India,2020-06-23,13.248542660307365
India,2020-06-24,13.218770654329147
India,2020-06-25,13.231013495633766
India,2020-06-26,13.222266296443212
India,2020-06-29,13.241525423728815
India,2020-06-30,13.239772275916854
India,2020-07-01,13.245033112582782
India,2020-07-02,13.37255950788981
India,2020-07-03,13.386880856760374
India,2020-07-06,13.401232913428036
India,2020-07-07,13.367196898810318
India,2020-07-08,13.344008540165465
India,2020-07-09,13.31203407880724
India,2020-07-10,13.308490817141337
India,2020-07-13,13.304949441192125
India,2020-07-14,13.26611833377554
India,2020-07-15,13.313806417254694
India,2020-07-16,13.313806417254694
India,2020-07-17,13.345789403443213
India,2020-07-20,13.374348000534974
India,2020-07-21,13.415615776764152
India,2020-07-22,13.412017167381975
India,2020-07-23,13.367196898810318
India,2020-07-24,13.374348000534974
India,2020-07-27,13.374348000534974
India,2020-07-28,13.349352556401016
India,2020-07-29,13.347570742124931
India,2020-07-30,13.354700854700855
India,2020-07-31,13.351134846461948
India,2020-08-03,13.297872340425531
India,2020-08-04,13.32267519317879
India,2020-08-05,13.368983957219251
India,2020-08-06,13.356484573260317
India,2020-08-07,13.326226012793176
India,2020-08-10,13.349352556401016
India,2020-08-11,13.403029084573115
